Idx,Locality,Industry,Start,Title,Company,Prev Company,Post
in-luisliberal,"Lisbon Area, Portugal",Telecomunicações,July 2011,Senior Internal Auditor,Vodafone,Deloitte,"Luís is a professional with 6 years of experience in Business Assurance, Information Security and IT Audit. During the first 5 years of his career he was external auditor/ consultant helping the organizations in the alignment of IT requirements with business strategy and objectives. Among other engagements he was involved and responsible for the delivery of enterprise-wide business roles reflecting these roles on IT landscape, definition of Identity Management Strategy and Architectures, design of access control models for SAP Systems (at one of the major portuguese groups), support in the definition of Information Security Strategy and Policies and IT Processes re-engineering based on business objectives and operational risks.Since July 2011, seeking for new challenges and experiences, he became Senior Internal Auditor at Vodafone Group, incorporated in the Southern Europe team (Spain, Greece, Turkey, Portugal, Albania and Malta). His aim consists in provide the senior management with independent, objective assurance and consulting activity designed to add value and improve the company operations.Personally he is always pursuing the improvement of his skills and knowledge through interaction with different stakeholders (e.g. from senior management to operational level), multi-cultural experiences and being part of challenging projects, always supported by a truly empathic and honest approach.His academic background consists in a 5 year degree in Information Systems and Management at ISCTE and a Specialization in Information Systems Security at Universidade Católica. Additionally, as a natural consequence of his background he concluded a set of certifications regarding IT and Information Security namely, ITIL V3 Foundation, CISA and ISO 27001 Lead Auditor."
in-maciejjudycki,"Warsaw, Masovian District, Poland",Technologie i usługi informatyczne,November 2009,"QA Specialist, Business Analyst",SMT Software,Deloitte,"Over 4 years of experience in test management and implementation as well as business analysis.ISTQB, ITIL, PRINCE2 Certified"
in-magagnino,"Milan Area, Italy",Consulenza manageriale,July 2010,Consultant,Accenture,Deloitte,"After two years in Deloitte I moved in Accenture where I have been working since July 2010.After an experience in an important System Integration project I’m now involved in Digital Strategy projects with Accenture Interactive.In Deloitte experiences I deal with a range of activities: Contract Risk & Compliance and Software Asset Management in the Audit field, Segregation of Duties and Implementation of Organizational Model within the Consulting field; through internal projects I also deal with Enterprise 2.0 Strategy projects. I am one of the founders of the working group Deloitte 2.0.My previous experience, both professional and academic, is mainly related to Information Technologies, New Economy and Web Business.During my studies I worked as a freelance web based solution developer and informatics consultant.I run data base lectures at Trento University as assistant teacher.I am also the author of academic publications mainly about adaptive system, e-learning, knowledge management, social network and web 2.0. I am the coauthor of the book “Cercare il diritto” by Zanichelli for which I developed the multimedia support cd-rom.I attended a traineeship in IONA Technologies PLC in the Dublin head quarter working in the Customer Service Engineering team.In 2011 I reached the national finals of Telecom Italia Working Capital for a 100.000€ funding for Innovation Business Ideas.What most interest me about corporate organizations is the business reengineering, the management of the competences and the interaction between social media and organizations."
in-marcioaraujocgeit,"São Paulo Area, Brazil",Tecnologia da informação e serviços,December 2010,Gerente de Gestão,Qualicorp,Ernst & Young,"PRINCIPAIS CLIENTES ATENDIDOS:Banco Central do Brasil, Bancos Comercias: Bradesco, Lloyds, JP Morgan, Itaú, Alfa e Votorantim, Grupo General Electric, Monsanto, Bunge, Hospital Albert Einstein, Duke Energy, Solvay, Bayer, Honda, Microsoft; PepsiCo do Brasil"
in-marcopericci,"Firenze, Italia",Contabilità,gennaio 2012,Financial Accountant/Controller,Savino Del Bene,Ernst & Young,"Attualmente sono occupato presso Savino Del Bene Spa, società attiva nel settore dei trasporti internazionali. Il Gruppo Savino Del Bene risulta essere fra le più importanti realtà nel mondo delle spedizioni. La società è specializzata nell'organizzazione di trasporti via aerea, via mare, via terra e servizi correlati con un network mondiale di oltre 100 società nel mondo.In questa società svolgo la mansione di Financial Accountant/Controller presso l'HQ (Scandicci) con riferimento alle consociate italiane del Gruppo. Il mio lavoro spazia dalla redazione dei bilanci mensili e trimestrali sino alla produzione di reportistica interna per i più svariati scopi.Un ruolo importante è rivestito dal controllo di gestione (monitoraggio delle commesse) di cui mi occupo affiancando una figura di grande esperienza alla quale rispondo direttamente.Precedentemente ho lavorato presso la Società di Revisione Contabile Reconta Ernst & Young in qualità revisore junior.In questa esperienza ho maturato ed incrementato la mia competenza professionale nell’ambito dell'analisi e della revisione di bilancio oltre che nell’analisi dei processi aziendali riuscendo a consolidare ed applicare concretamente le nozioni teoriche apprese durante il mio percorso di studi.In particolare nel corso del 2011 ho avuto la possibilità di far parte del team di revisione che segue il processo di quotazione (IPO) di una grande realtà aziendale oeprante a livello mondiale."
in-margotsandler,"Columbus, Ohio Area",Accounting,June 2010,Staff Accountant,HHH CPA Group,PwC,"Certified Public Accountant with over two years of experience in public accounting, auditing public, and not-for-profit organization, performing compilations and reviews, and completing individual and corporate tax returns, and day-to-day accounting functions including the production and analysis of general ledgers, and financial reports, and reconciliations of accounts.Additional experience in supervising individuals.Experience with creating schedules, managing inventories, and cash accounts."
in-marieanneleungkam,"London, United Kingdom",Internet,September 2011,"EMEA Recruiter, Marketing Solutions",LinkedIn,Deloitte,"Life @ Linkedin, I am absolutely loving my time at Linkedin, it is a place where you can transform your career & develop yourself into other opportunities within the business. As you know I am hiring for Marketing Solutions, growing teams in UK & EMEA. We want talent and if that is you, please get in touch. I did, and it changed my life!As part of the Talent Organisation at LinkedIn I am Recruiting for our Marketing and Advertising Solutions Business across EMEA. LinkedIn is a company where anything is possible!!You can transform your career in a heartbeat. Our culture is defined by our employees passions.Within our Marketing Solutions business you are responsible for selling LinkedIn’s digital marketing solutions to the world’s most sophisticated marketers and helping them connect with our audience of success-driven professionals. You’ll be joining a team of experienced online advertising and marketing experts who are developing breakthrough marketing programs, delivering world-class customer service, and achieving LinkedIn’s goal of being a global leader in the online advertising industry.Specialties: 5 + years recruitment experience in-house and agency;Direct Recruitment delivery focus;Permanent, contingent and contract experience;Ability to meet and manage multiple complex volume hirings plans;Market & talent mapping;Competency screening & interviewing;Supplier selection & management;Budgeting & Forecasting;Management Information & Reporting;Candidate attraction strategy & definition;Social media RecruitmentTalent PipelineStakeholder Management;"
in-marijnbroekhuizen,Netherlands Antilles,Financial Services,September 2011,Audit Senior - Assurance and Advisory,Deloitte Dutch Caribbean - Curaçao,Deloitte,"During my work I'm responsible for the Audit fieldwork, reporting directly to the (senior) manager and making sure that the audit is conducted in a 'smooth' manner, including managing and reviewing the work performed by assistants.Also discussing attention areas with the client and advising clients regarding their Internal Control framework is part of my daily job.- Reliable, teamplayer, hard worker (get-the-job-done attitude)"
in-marthacorbett,Greater Los Angeles Area,Accounting,January 2012,Advisory - Global & National Special Projects and Services,PricewaterhouseCoopers,PwC,"National Advisory PartnerAdvisory services is a practice comprising approximately professionals who provide consulting, merger and acquisition and foresnic services to a broad range of public and private companies."
in-martinezpardo,"Zürich Area, Switzerland",Management-Beratung,September 2011,Global Strategies,Unilever,Deloitte,"Strategy consultant for Financial Services Institutions and for the Public Sector with a significant international background, comprising professional and undergraduate positions in Hong Kong, Madrid, Switzerland and Vienna in the professional services industry and the United Nations.I hold a Double Degree in Business Administration and Law and I am seeking for international career either in the private sector or in a non-profit organization.Entrepreneur someday?"
in-mattfricke,San Francisco Bay Area,Accounting,January 2000,Partner,"Clifton Douglas, LLP",PwC,"Matthew brings over a decade of tax experience with him to Clifton Douglas. He has been involved in thepublic accounting management of large companies as well as newly formed corporations and start-upentities. His business specialties include corporate deferred tax accounting, tax internal controlimplementation under Sarbanes-Oxley, FASB FIN No. 48 analyses, domestic compliance, domesticconsulting, and international assignment solutions.Prior to joining Clifton Douglas, Matthew was a tax manager in the PricewaterhouseCoopers San Jose officewhere he worked on large multinational companies as well as newly formed public corporations. Matthewwas previously employed by Deloitte and Touche, LLP, where he was the office lead for Expat/Inpat taxservices. Matthew was educated at Western State College, where he received his Bachelor of Arts degree inaccounting, with double minors in business and mathematics."
in-matthewjohnanderson,"London, United Kingdom",Medical Devices,January 2004,Talent Acquisition Leader,GE Healthcare,Ernst & Young,"Regional Talent Acquisition Leader for GE Healthcare, helping to grow the business in the Middle East, Africa, Russia/CIS and Turkey. Extensive in-house recruitment experience including organisational leadership and change management, leadership hiring, EVP/brand, recruitment technology, process and strategy development.If you are interested in GE, join our LinkedIn Group, the GE Healthcare Global Community. Or join our talent community at www.ge.com/careers - it's easy to set up alerts about opportunities that match your interests goals."
in-matthieunoble,"Brussels Area, Belgium",Management Consulting,September 2011,Manager,Avertim,Deloitte,"CurrentlyManager at Avertim: business development and recruitment for the banking & insurance Transport, Energy.FormerlySr Consultant CIO Services, Deloitte Consulting.Consultant for the European Commission, Unisys Consulting.Trainee at the European Commission and the European Parliament."
in-mauriceboland,Ireland,Information Technology and Services,October 2012,Managing Director,MediaGardens,Deloitte,"I am currently managing a startup company 'Media Gardens',Media Gardens is a leading provider of consultancy, development and training to SME’s throughout Ireland. Our training courses help companies plan, develop and maintain their presence on Social Networking sites."
in-mayankgoeliimc,"Bengaluru, Karnataka, India",Financial Services,January 2012,"Practice Manager, Corporate Strategy",Altisource,PwC,"Mayank has diverse experience in various domains like Oil and Gas, Public (Power), Telecommunications, BFSI etc, delivering tangible and intangible benefits to the clients.I want to be part of a dynamic culture where people have the freedom to challenge boundaries and bring radical changes."
in-maybewhen,"London, United Kingdom",Insurance,June 2011,Owner,Experimental 361,KPMG,Creative risk professional with both practitioner and consulting experience. Particular interest in optimising risk management frameworks and risk reporting design.Outside of work I provide football league analysis via @experimental361 and specific Torquay United analysis via @GreenwichGull - both Twitter accounts with associated blogs.Watch this short film about me if you want to know a bit more: http://passionate.kpmg.co.uk/stories/ben
in-melander,Washington D.C. Metro Area,Information Technology and Services,August 2011,Chief Technology Officer (CTO),"Achieving the Dream, Inc.",Deloitte,"nicole.melander at gmail.comDr. Melander is the Chief Technology Officer (CTO) for Achieving the Dream, Inc. (ATD). In this role, Nicole ensures that programs and operations are informed, supported by, and integrated with cutting-edge technology. Nicole brings to the position more than 20 years of experience in the consulting, education, and operations divisions of multi-national software companies. She has in-depth knowledge of social media, educational technologies, e-business software, and large database systems.Before joining ATD, Dr. Melander was a Specialist Leader at Deloitte Consulting LLP where she focused on the innovative use of collaboration & social software. Nicole took the position at Deloitte after teaching on these topics at American University where she won the ""Teaching with Technology Award"" for her use of technology in the classroom.Previously, Dr. Melander was Senior Global Director for Higher Education Strategy and Programs at Microsoft Corporation. She was responsible for designing and developing global programs for post-secondary education and engaging directly with education leaders and influential organizations.Before joining Microsoft, Dr. Melander spent 16 years at Oracle Corporation. She was Vice President for Oracle's ThinkQuest program where she oversaw all aspects of the project including partner management, product development, operations, and support. She also directed the international roll-out of the Think.com collaboration environment and implemented the Oracle Academic Initiative for Higher Ed in the US, EMEA, and Asia-Pacific.Dr. Melander received a Bachelor of Science degree in computer science from West Chester University, a Master of Science degree in technical management from Johns Hopkins University, and a Doctorate of Philosophy degree in information technology from George Mason University. Dr. Melander has a patent in the area of Information Retrieval."
in-melbagoury,Egypt,Telecommunications,April 2012,Senior Internal Auditor,TE Data,KPMG,Audit Professional - with Big 4 background (3+ PQE years) in addition to Telecom experience with the incumbent operator of Egypt.
in-mennodehaas,"Amsterdam Area, Netherlands",Olie en energie,July 2007,Support Specialist,Inter IKEA Systems B.V.,Deloitte,"Menno is an energetic person who likes to discover and face new challenges. His strong analytic skills are emphasized by his education in engineering. On the other hand, the interest and education in business and finance demonstrate his all-round skills."
in-michaelhamka,"Sydney Area, Australia",Human Resources,April 2011,Senior Talent Acquisition Consultant,SAP,KPMG,"I am an enthusiastic & conscientious individual who is self motivated and driven by success and results. I have experience and knowledge accumulated across various industries and HR/ talent positions. I seek to improve process and systems and encourage a best practices approach to each task where possible- resulting in an efficient and effective service delivery.My skill encompass generalist HR, Talent/Recruitment and the management and implementation of HR information systems, as well as process development and automation. I am a supporter of the use of technology in the HR space to encourage self services and streamline process and functions."
in-michaelnassar,"Toronto, Canada Area",Financial Services,June 2012,"Senior Manager, Controls",President's Choice Financial,Deloitte,"An experienced risk management professional with comprehensive internal audit, process and control design, assessment and implementation skills."
in-michellesun,China,Financial Services,October 2012,"Director, Tax",KPMG China,KPMG,"Transfer pricing analysis for intercompany transactions. Although the principle of TP is quite simple, i.e. arm's length principle, the scope of work is very comprehensive and extensive. It covers the review and understanding of the business operation of the company, the function allocation between Group companies and various economic analysis to determine the reasonable pricing. A good TP planning can help to enhance the cost efficiency of supply chain arrangement and proactively manage the TP risks and challenge from tax authorities."
in-miguelgonzalezamado,"Porto e Região, Portugal",Serviços jurídicos,outubro de 2012,Trainee Lawyer,"Telles de Abreu e Associados - Sociedade de Advogados, RL",Deloitte,"Graduated in Law at Universidade Católica, postgraduate in Tax & Administrative Justice and Tax Law at Universidade de Coimbra and Universidade do Porto respectively."
in-mikaelcalvez,"Montreal, Quebec, Canada",Internet,November 2011,Account Manager,w.illi.am/,Deloitte,"Mikaël is an account manager at w.illi.am in Montreal with 8 years of professional experience in interactive, web and IT strategy.He focuses primarily on mandates involving interactive strategic planning, web portfolio management and business analysis. He also has experience in managing web projects from sales and marketing web strategies definition to implementation of web solutions.He has been mainly working in the following industries: financial services, retail banking and insurance, telecommunications, manufacturing, transportation, education and venture capital.Mikaël has a Master of Science (M.Sc.) in E-Commerce and a Bachelor in Business Administration (marketing and international business)."
in-mikejchang,Greater Boston Area,Accounting,2012,Senior International Tax Associate,American Tower,Ernst & Young,"Published attorney.Licensed to practice in MA and NY.Bilingual in English and Korean.In the past years, I have gained an abundance of useful experience in various aspects of the legal system. I am currently a tax associate at Ernst & Young LLP and involved in numerous tax planning opportunities with several large corporations.Prior to that, I worked at NY Attorney General’s office. I assisted in many State proceedings against corporations involving violations of the New York State Consumer Frauds Bureau and I became well versed in laws involving fraudulent corporate activities.Most of my time before that was spent attending law school, getting my fill of the different areas of law, and narrowing down my choices as far as what form of law I’d be interested in practicing.Additionally, I spent 3 years in the military, serving as the Controller of the 8th United States Army, and received the Army Commendation Medal for outstanding performance.My current interest is in gaining knowledge about intellectual property law. I am fascinated by the development of the concept of owning intangible property rights and how it might play a role in the future development of the property law."
in-mikemcguane1,"London, United Kingdom",Financial Services,June 2012,Business Analyst - eCommerce,RWE npower,Ernst & Young,"Business Analyst with 9 years experience of full lifecycle projects with blue chip companiesBusiness Analyst/Project Analyst with 2 years experience on desktop virtualisation project - The programme was runner up in the “Corporate Social and Environmental Responsibility in IT” category at the Real IT AwardsSpecialist in the deployment of large scale projects and associated culture changeSpecialist in Deployment of CRM software with 3 years experienceSpecialist in E-commerce applications for both internet and intranetExtensive Knowledge of Service Desk processes and applicationsSpecialist in AGILE and WATERFALL process of software deployment developed by .Net technology and JavaFull project life cycle experience of delivering multiple projects by iterative developmentExtensive knowledge of the Retail, Logistics and Utilities sector"
in-milesor,Greater New York City Area,Information Technology and Services,May 2009,Project Manager,Hudson Insurance Group,Deloitte,"Technical project manager with a specialty in project governance.Skilled with SGML, XML and their related technologies, and practised in the development of enterprise applications, middleware and web technology.Experienced in a variety of vertical industries, including financial services, government, military and aerospace."
in-mjmaxwell,"London, United Kingdom",Marketing and Advertising,October 2011,Digital strategy consultant,Accenture,KPMG,I specialise in digital strategy with a background in digital marketing and a focus on social media.
in-modhusen,Greater Chicago Area,Financial Services,2009,Internal Audit & SOX Compliance Manager,Navistar Financials,Ernst & Young,"Over 10 years of professional experience with key focus on Audit, Risk Management and Compliance working on financial audits including Sarbanes Oxley, operation and compliance audit engagements for several Fortune 500 companies.My role involved resource management, planning, budgeting, managing daily aspects of client relationships, conducting interviews, developing and documenting business process narratives, internal controls framework, risk to controls maps and developing and executing audit plans. I have been responsible for identifying and reporting control gaps and process improvements to executive management and audit committee.I have focused on clients from the financial sector including captive finance, broker dealer, asset management firm, credit card companies etc. but I have had the opportunity to serve clients in other industries including pharmaceuticals, telecommunication, energy and the federal government."
in-mohamedsoliman004,United Arab Emirates,Accounting,June 2010,Group Financial Reporting and Compliance Manager,OSN,Ernst & Young,"Experienced professional with over 11 years of public and private accounting experience within “Big 4” C.P.A firms in USA, Canada, UAE and Egypt. .Managed and supervised planning, coordination, and execution of external as well as internal audit engagements. Strong experience with various accounting standards (i.e. IFRS, US GAAP, and Canadian GAAP).- Certified Public Accountant (California)- Member of the California Society of Certified Public Accountants- Member of the American Institute of Certified Public Accountants"
in-moonenmarcel,"Nijmegen Area, Netherlands",Juridische services,October 2009,Tax manager,Deloitte Nederland,Deloitte,Meer dan 10 jaar allound belastingadviseur/fiscaal jurist voor de MKB markt. Veel ervaring met DGA praktijk en van daaruit veelvuldig in aanraking met alle belastingmiddelen.Een aantal persoonskenmerken:GedrevenEnthousiastPraktischCreatiefKwaliteit
in-morganmjones,"Boca Raton, Florida",Telecommunications,June 2012,Mergers and Acquisitions Financial Analyst,Global Tower Partners,Deloitte,"Currently works for Global Tower Partners, based in Boca Raton, Florida. Global Tower Partners is the largest privately-owned tower operator in the U.S. and the fourth largest independent operator in this sector. GTP owns, manages, or master leases more than 15,400 wireless sites, including 6,400 towers throughout the U.S. GTP leases space on towers and rooftops to leading wireless communications providers including AT&T Wireless, Verizon Wireless, Sprint, US Cellular, Metro PCS, and Leap Wireless.Graduate of the University of Florida with a combined Master's and Bachelor's of Science in Accounting degree from the Fisher School of Accounting. Licensed Certified Public Accountant (CPA) in the state of Florida. Self-driven and hard working professional who owns his work and will go above and beyond to complete objectives in a timely manner.Continuously expands his understanding of business by engaging in CPE training seminars in accounting, business valuation, real estate, and mergers & acquisitions. He further expands his knowledge by reading books on real estate and private equity.As a client service professional, Morgan developed strong interpersonal skills that are invaluable in a team-based working environment and when interacting with the client's executive personnel."
in-mpemmett,"Melbourne Area, Australia",Information Technology and Services,November 2011,Chief Information Officer,QBE Insurance,Ernst & Young,Senior roles as Senior Executive or Partner at leading Systems Integration and Professional Services Firms. Transforming client environments by driving a significant performance turn-around
in-mrmarcosricardo,"São Paulo Area, Brazil",Consultoria de gerenciamento,September 2011,Advisory Manager in SSC-Shared Services Center,TOTVS,Deloitte,"– Participation in a wide range of projects in different industries (Retail, Automotive, Public Sector, Chemical, Pharmaceutical, Outsourcing, Human Resources Consulting, Energy, Agribusiness, Health and Education), focused on processes mapping/redesign, gap analisys, performance improvement, BPM - business process management, BPO - business process outsourcing, SSC- shared service center, KPI's - key performance indicators, internal controls, operational management, business compliance (Sarbanes Oxley, corporate policies and procedures).– Following main activities developed during the projects: develop request for proposal - outsourcing and shared service center, feasibility study for shared service center implementation , develop business process for Latin America projects, assessment of processes and integration opportunities, specification for development business process management system, specification for key performance indicators, develop service level agreement (SLA) and operational level agreement (OLA), build risk and control matrix, consolidate test plans / test results, monitor the project development, develop executive presentations.– Major accounts attended: McDonald's / Arcos Dorados, C&A, Polishop, Carrefour, Walmart, Volkswagen, Faurecia, TRW Automotive, INFRAERO, Rhodia, AGFA, AstraZeneca, Adecco, Medial, Odontoprev, IBMEC / Insper, CPFL Energia, ADM - Archer Daniels Midland, Estre Ambiental."
in-msalzbrunn,"São Paulo Area, Brazil",Contabilidade,August 2006,Accounting Manager - Latin America,Adobe Systems,Ernst & Young,"• BS in Accounting, gradutated at Universidade Presbiteriana Mackenzie• MBA at Fundação Getúlio Vargas (FGV) Business School• Executive MBA in Public Policies at Chicago University• Over 10 years of working experience at international companies in Brazil• Michigan Certificate of Proficiency in English.International Experiences:• Staff meetings at Adobe headquarter in San Jose, California, USA• MBA Executive at University of Chicago in June-2010 (Chicago, Illinois, USA)"
in-msamiotakis,Greece,Information Technology and Services,March 2012,Member of the Board of Directors at ISACA Athens Chapter,ISACA,PwC,"I currently serve as an assistant Manager in the Technology Governance and Security practice, in PwC. I have more than 8 years of IT related experience providing consulting services in the fields of Technology Governance, Risk and Compliance, helping clients to gain value from their investments in IT and Security.I have worked with a wide range of major companies and within highly regulated environments; such as the telecom and the financial sector, helping them assess, design and implement IT controls and processes to reduce risk and enhance operations.On December 2011, I was also appointed as the PwC Greece‘s Information Security Manager, responsible for the design and implementation of the organisation-wide Information Security Management System, that is based on ISO 27001.Academically I hold a BSc in Software Engineering, an MSc in Information Security & Computer Crime from the University of Glamorgan (UK) and an MSc in Management of Business, Innovation & Technology (MBIT) from Athens Information Technology (AIT). I am an active member of the Greek Chapter of the Information Audit and Control Association (ISACA) since 2009 as a Certified Information Security Manager (CISM) and International Standard for Information Security (ISC)2 Consortium since 2007 as a Certified Information Systems Security Professional (CISSP). I am also a Certified ISO 27001 Lead Auditor."
in-muratakturk,Turkey,Bilgi Teknolojisi ve Hizmetleri,May 2012,"Regional Infrastructure Leader, EAGM",GE Healthcare,Ernst & Young,"Murat Aktürk is the Regional Infrastructure Leader at GE Healthcare for EAGM Region.He was a Senior Manager within Ernst & Young’s IT Risk, Assurance and Advisory Services. He has been working in the Information Technology industry for more than 13 years and managed various projects within many sectors.He has completed Cisco Network Academy Program and has deep technical knowledge over Networking, Firewall, Routers, Switches and Communication systems. He provided security enhancement services for various clients. Projects include general security reviews of Windows, Unix, AS/400, SAP, JDE, Oracle and SQL platforms.He is holding BSc honours degree in Computer Engineering. In addition to his management skills developed during his professional career, he holds an academic title, Master degree from Management and Organizations Branch. One of his strongest part is his broad experience in working with multinational and multicultural teams from Western Europe, Southeast Europe as well as Middle East countries. He has strong management of teams and staff experience in addition to management of relationships.Well versed in generally accepted control methodologies such as the Control Objectives for Information Technology (COBIT) , SOX and ITIL.He has experience in Information Technologies Governance, Information Technology Audits based on COBIT framework, Sarbanes Oxley compliance reviews and advisory projects, SAP R/3 application and security reviews, IT due diligence projects, IT Transition and Project Management.He has presentation and communication skills as well as strong interpersonal skills. He has worked in systems integration, security projects. He is self-driven and results focused and a strong team player. He is experienced in managing large scale programs with P&L accountability, people management, vendor management, change management, transformation, process improvement and re-engineering, stakeholder management, SLA construction and contract"
in-musagezer,"Istanbul, Turkey",Risk Sermayesi ve Özel Sermaye,October 2011,Associate,Mediterra Capital Private Equity,PwC,Investment management professional
in-namitakhandelwal,Greater Seattle Area,Information Technology and Services,September 2011,Oracle Applications Developer,Amazon.com,Deloitte,"Oracle Applications Developer, Lead Technical Consultant in a wide variety of Industries. Interested in Oracle Applications R12 implementation, especially the Financials Modules.Worked on various modules across Oracle Applications including Financials, Manufacturing, SCM and Federal Financials."
in-narendrankg,"Mumbai Area, India",Management Consulting,September 2011,"Manager - Strategy & Operations, Regional Director's Office",Fortis Hospitals,Deloitte,"A management professional with 5 years of rich experience in areas of strategic planning, advisory, project finance, market research & assessment and economic and sector analyses, business development & marketing; currently working with Deloitte’s Infrastructure Advisory Group in India, and mainly responsible for business advisory and consultingI have extensively been involved in business feasibility assessment, strategic planning, financial analysis, project reports, business development initiatives, identifying and analyzing potential opportunities of importance, identification of strategic partners, collaborating with leading international consultants from developed countries, evaluation of opportunities from strategic perspective and overall business / sales proposal management including preparation of business proposals and presentations for delivering to domestic as well as international organizations. I have gained wide exposure to a range of industries from public as well as private sector. At the work place, I have received commendations / appreciations for my efforts and the results."
in-nathantabler,Greater Nashville Area,Information Technology and Services,March 2012,Product Manager,Nuix,Deloitte,"- Technically savvy, analytical, and innovative professional with eight years of e-discovery and litigation support experience in both corporate and consulting environments- Proven ability to plan and lead the technical aspects of discovery for complex litigation- Well-versed in the Federal Rules of Civil Procedure and various states’ rules related to discovery- Hands-on experience in every facet of the EDRM, which affords the ability to clearly define product features and implement them in a consistent, simple user experience- Experienced Scrum master, utilizing Agile / scrum principles to effectively define, communicate, and implement customer requirements"
in-naveenjain1,United Arab Emirates,Management Consulting,June 2012,"Regional Manager - Finance & Planning (Middle East, Africa & Greece)",Univar,Ernst & Young,"► MBA (LUBS, UK), CMC (CMI, London), Chartered Accountant (CPA), Company Secretary & BCom (Gold Medallist) with 8+ years of experience in Strategy, Finance & Business Planning► Significant experience in dealing with CEOs, CFOs & Directors► Proficient at devising business strategy, business plans, market entry-strategy, enterprise cost reduction, industry analysis, business process re-engineering, organization restructuring & change management► Experience of working across geographies and handled projects and sales with clients in India, UK, US, France, Germany, Middle East, Africa etc► Deep financial understanding including financial planning, analysis, budgeting & reporting► Strong business credentials & understanding of sales & marketing functionsSPECIALTIES:► Business srategies (business planning, feasibility study, market entry strategy)► Passion for driving improvements► Structured, analytical and thorough► Financial systems design► Cross functional team player► Capable of transmitting finance controlling topics to non-financial managers► Intellectually rigorous, good in handling numbers & biased for practicality & execution► Excellent interpersonal skills► Commercial & business acumen► Team leadership & managementI welcome opportunities within the Strategy, Finance, Operations, Corporate Planning and Business Management arena from any reputed multinational company in Dubai, India or abroad who desires to employ a result-oriented Manager."
in-nbastien,"Région de Paris , France",Conseil en management,août 2011,Senior Analyst Transaction Services,PwC Consulting,PwC,"Currently working as Transaction Services Senior Associate in PwC Paris (previously financial auditor in our Toulouse Office). I work on financial due diligence (FDD) reviews both for buy & sell side. I have diversified experience in FDD that includes both national and international targets. My experience includes:- Analysis of historical financial performance- Identification of one-off and non-recurring items to conclude recurring profitability or adjusted EBITDA- Revenue & margin analysis- Analysis of revenue and EBITDA bridges- Overall analysis of earnings quality, key business drivers & key performance indicators- Growth, variance, CAGR analysis- Quality of financial position- Analysis of working capital and operating cycle/ working capital bridge- Net debt analysis (debt and other debt like items)- Business reviews and report writing (english/french)Skills:- Financial due diligence reviews (buy & sell side)- Financial accounting & reporting- Audit of internal controls, systems & operations- Statutory audit- Customer relationship- Management of small teams"
in-neffjessica3,Greater St. Louis Area,Financial Services,April 2012,Controller of The Hempstead Financial Group LLC,Northwestern Mutual,Ernst & Young,"•Well-developed time management skills and ability to manage multiple tasks at one time•Advanced communication skills with experience in a professional setting•Ability to acquire new skills for position quickly and accurately•Highly motivated, strong work ethic, and holds self to high standards of performance and quality"
in-nides,Greater Chicago Area,Computer & Network Security,June 2012,"Manager, Forensic Technology Services",KPMG LLP,KPMG,"Mr. Nides specializes in providing services to clients in the areas of Incident Response, Malware Analysis, Digital Forensics, eDiscovery, and Evidence and Discovery Management.He was selected to represent KPMG's U.S. Forensic Technology Services practice for a global secondment in the People’s Republic of China. He has significantly contributed to the growth of Asia Pacific's Forensic Technology Services practices by leading cross-border investigations, introducing methodologies and technologies consistent with the U.S., and making best practices transparent between global practices. Ultimately, he was in part responsible for the establishment of a Forensic Technology team and service line in Shanghai, China.He has also served a rotation with the Office of General Counsel leading and assisting in internal investigations involving the identification, preservation, analysis, and presentation of KPMG’s Electronically Stored Information. Subject matters have included government inquiries, litigation hold requests, intellectual property theft, personal identifiable information, employee misconduct, risk and compliance, and other sensitive subjects through the course of over 200 matters.Mr. Nides currently plays a lead role developing and delivering KPMG's national Incident Response (e.g. network intrusions, data breaches, APT) service line.Additionally, he is a national instructor within KPMG’s Advisory University training institution, frequent speaker and writer on digital forensic and eDiscovery topics, and assists with the development of KPMG software used by corporations and law firms globally."
