,city,cuisine
36140,Las Vegas,vegetarian
36144,Phoenix,american
36146,Monroeville,italian
36151,Charlotte,american
36165,Pittsburgh,cafe
36167,Cleveland,breakfast
36172,Montréal,cafe
36173,Toronto,cafe
36175,Richmond Hill,american
36176,Toronto,italian
36193,Toronto,american
36194,Toronto,burger
36195,Montréal,burger
36197,Toronto,mediterranean
36200,Las Vegas,cafe
36206,Calgary,american
36216,Toronto,burger
36218,Las Vegas,american
36226,Scottsdale,american
36229,Pineville,cafe
36234,Chandler,chines
36235,Henderson,american
36241,Charlotte,american
36245,Toronto,chines
36248,Las Vegas,burger
36259,Charlotte,breakfast
36273,Toronto,mediterranean
36274,Calgary,indian
36277,Scottsdale,italian
36278,Toronto,cafe
36290,Mercier,african
36299,Toronto,american
36304,Cornelius,cafe
36312,Toronto,italian
36317,Concord,indian
36335,Boulder City,american
36340,Montréal,burger
36349,Tarentum,barbequ
36350,Oakville,chines
36353,Matthews,mexican
36361,Pittsburgh,ethiopian
36383,Mississauga,chines
36395,Parma,asian
36399,Akron,american
36403,Toronto,cafe
36405,Richmond Hill,chines
36407,Pittsburgh,vegetarian
36415,Toronto,korean
36416,Airdrie,italian
36421,Toronto,indian
36423,Toronto,indian
36424,Las Vegas,american
36427,Thornhill,indian
36428,Las Vegas,mexican
36430,Las Vegas,italian
36436,Las Vegas,mediterranean
36439,Eastlake,chines
36442,Phoenix,vietnames
36452,Montréal,japanes
36462,Gilbert,cafe
36477,Toronto,breakfast
36485,Henderson,mexican
36489,Calgary,breakfast
36493,Charlotte,japanes
36503,Toronto,american
36517,Strongsville,chines
36518,North Las Vegas,burger
36526,Rantoul,italian
36535,Toronto,french
36543,Las Vegas,asian
36549,Toronto,american
36553,Las Vegas,mexican
36555,Amherst,barbequ
36574,Las Vegas,cuban
36575,Champaign,chines
36584,Goodyear,breakfast
36588,Sun Prairie,american
36591,Tempe,mediterranean
36593,Toronto,chines
36597,Las Vegas,burger
36600,Calgary,cajuncreol
36602,Charlotte,chines
36603,Madison,burger
36615,Lyndhurst,american
36618,Avondale,mexican
36624,Boulder City,breakfast
36628,Montréal,indian
36634,Montréal,breakfast
36637,Toronto,chines
36640,Surprise,burger
36654,Indian Trail,italian
36658,East York,breakfast
36660,Cleveland,american
36661,Pittsburgh,asian
36666,Las Vegas,japanes
36671,Calgary,burger
36675,Toronto,american
36677,Calgary,american
36680,Homestead,american
36683,Dollard-des-Ormeaux,vietnames
36694,Chandler,american
36701,Phoenix,chines
36702,Gilbert,breakfast
36703,Mississauga,american
36705,Cleveland,mexican
36718,Scottsdale,breakfast
36728,Glendale,asian
36729,Charlotte,barbequ
36737,Las Vegas,mexican
36753,Avon Lake,vegetarian
36754,Phoenix,chines
36763,Toronto,portugues
36765,Surprise,japanes
36771,Pittsburgh,mexican
36772,Toronto,american
36773,East York,breakfast
36774,Las Vegas,american
36784,Toronto,indonesian
36785,Scottsdale,american
36796,Airdrie,cafe
36797,Phoenix,mexican
36813,Mississauga,asian
36815,Toronto,burger
36834,Toronto,burger
36835,Chandler,american
36837,Montréal,cafe
36838,Las Vegas,burger
36843,Henderson,mexican
36844,Maple Heights,american
36852,Balzac,breakfast
36855,Charlotte,mexican
36859,Calgary,lebanes
36863,Madison,american
36865,Charlotte,burger
36868,Toronto,cafe
36869,Phoenix,thai
36870,Toronto,burger
36893,Davidson,british
36895,Solon,italian
36897,Charlotte,cafe
36900,Richmond Hill,thai
36901,Montréal,breakfast
36911,Las Vegas,burger
36919,Oakville,mediterranean
36925,Peoria,mexican
36926,Charlotte,mexican
36929,Mississauga,italian
36930,Toronto,hawaiian
36931,Oakville,mexican
36941,Phoenix,breakfast
36942,Chardon,breakfast
36946,Pleasant Hills,mediterranean
36953,Concord,italian
36955,Pittsburgh,thai
36957,Mississauga,korean
36962,Las Vegas,chines
36973,Madison,breakfast
36978,Toronto,french
36980,Gilbert,burger
36984,Chandler,american
36987,Toronto,vegan
36989,Scottsdale,mexican
36993,Scarborough,chines
36998,Oakville,breakfast
37000,Charlotte,mexican
37004,Tempe,burger
37005,North Las Vegas,vietnames
37009,Toronto,portugues
37019,Toronto,japanes
37021,Lakewood,french
37026,Pittsburgh,italian
37039,Aurora,american
37044,Phoenix,burger
37046,North Las Vegas,chines
37047,Toronto,korean
37050,Las Vegas,american
37051,Scottsdale,cafe
37057,Las Vegas,brazilian
37060,Mississauga,japanes
37063,Phoenix,chines
37065,Scottsdale,american
37078,Cleveland,japanes
37086,Pittsburgh,american
37087,Toronto,caribbean
37096,Phoenix,american
37099,Montréal,korean
37100,Charlotte,breakfast
37101,Las Vegas,hawaiian
37105,Pickering,german
37109,Scottsdale,italian
37110,Scarborough,italian
37131,Madison,italian
37132,Calgary,italian
37133,Las Vegas,cafe
37142,Mississauga,japanes
37144,Las Vegas,chines
37145,Montréal,burger
37151,Toronto,mediterranean
37153,Mississauga,breakfast
37159,Gilbert,vietnames
37162,Scarborough,chines
37168,Toronto,japanes
37169,Markham,cafe
37170,North York,american
37171,Phoenix,mediterranean
37177,Las Vegas,indian
37178,Henderson,mexican
37180,Champaign,american
37199,Phoenix,barbequ
37201,Euclid,american
37216,Oakville,american
37226,Phoenix,american
37248,Toronto,breakfast
37263,Toronto,breakfast
37264,Pittsburgh,vegetarian
37265,Las Vegas,breakfast
37267,Markham,chines
37281,Peoria,american
37284,Champaign,chines
37291,Chandler,italian
37297,North York,burger
37298,Surprise,burger
37303,Mesa,cafe
37305,Cleveland,american
37306,Calgary,american
37307,Montréal,australian
37308,Las Vegas,burger
37314,Mesa,burger
37316,Tempe,chines
37324,Mississauga,chines
37331,Montréal,french
37332,Las Vegas,italian
37333,Toronto,thai
37337,Calgary,american
37342,Las Vegas,japanes
37344,Glendale,chines
37350,Phoenix,vegetarian
37352,Calgary,japanes
37360,Mississauga,lebanes
37371,Toronto,afghan
37373,Montréal,japanes
37375,Las Vegas,vietnames
37379,Cleveland,italian
37380,Stouffville,chines
37388,Montréal,breakfast
37393,Litchfield Park,mexican
37394,Tempe,japanes
37406,Toronto,breakfast
37407,Lower Lawrenceville,vegetarian
37416,Madison,american
37435,Montréal-Ouest,barbequ
37437,Vimont,mexican
37438,Pittsburgh,turkish
37440,Cuyahoga Falls,american
37441,Willoughby,mexican
37445,Calgary,chines
37448,Scottsdale,american
37449,Las Vegas,american
37452,Aurora,burger
37453,Toronto,cafe
37459,Madison,breakfast
37463,Mesa,american
37478,Toronto,breakfast
37481,Tempe,chines
37485,Richmond Hill,chines
37505,Chandler,indian
37507,Phoenix,mexican
37529,Toronto,vegetarian
37530,Phoenix,caribbean
37535,Las Vegas,korean
37547,Scottsdale,japanes
37565,Mesa,barbequ
37568,Henderson,american
37577,Montréal,japanes
37581,Nobleton,breakfast
37584,Montréal,vegan
37592,Las Vegas,mexican
37597,Toronto,cafe
37601,Brampton,thai
37605,Charlotte,american
37608,Madison,japanes
37613,Toronto,korean
37622,Montréal,mediterranean
37627,Calgary,burger
37632,Pittsburgh,burger
37638,Mesa,mexican
37648,Calgary,cafe
37656,Avondale,mexican
37660,Las Vegas,american
37661,Markham,caribbean
37665,Las Vegas,cafe
37675,Cramerton,italian
37677,Toronto,mexican
37680,Phoenix,mexican
37687,Toronto,chines
37688,Gilbert,american
37693,Vaughan,burger
37696,Charlotte,breakfast
37702,Charlotte,chines
37705,Phoenix,mediterranean
37716,Las Vegas,american
37727,Phoenix,italian
37728,Las Vegas,chines
37730,Mississauga,breakfast
37733,Fountain Hills,american
37734,North Royalton,italian
37736,North Las Vegas,italian
37744,Saint-Sauveur,breakfast
37750,Chandler,american
37752,Fort Mill,american
37758,Brampton,portugues
37762,Las Vegas,chines
37763,Madison,american
37764,Savoy,american
37765,Toronto,cafe
37766,Montréal,burger
37771,Glendale,american
37773,Peoria,cafe
37787,Glendale,chines
37788,Las Vegas,american
37791,Toronto,mediterranean
37797,East Cleveland,mexican
37802,Toronto,caribbean
37812,Whitby,italian
37813,Indian Trail,american
37843,Las Vegas,vegetarian
37845,Amherst,asian
37847,Belmont,cafe
37849,Harrisburg,mexican
37854,Phoenix,breakfast
37856,Brossard,breakfast
37860,Outremont,burger
37863,Charlotte,asian
37871,Toronto,american
37872,Phoenix,american
37875,Montréal,breakfast
37884,Monroeville,italian
37897,North York,breakfast
37907,Markham,italian
37923,Longueuil,cafe
37925,Chandler,chines
37926,Gilbert,burger
37932,Las Vegas,asian
37936,Las Vegas,chines
37937,Madison,vegan
37940,Charlotte,american
37947,Las Vegas,breakfast
37949,Toronto,italian
37955,Mentor,american
37961,Madison,american
37962,Las Vegas,french
37965,Charlotte,breakfast
37967,Toronto,barbequ
38005,Pickering,caribbean
38020,Phoenix,mediterranean
38022,Montréal,cafe
38028,Montréal,chines
38036,Charlotte,italian
38039,Phoenix,barbequ
38042,Las Vegas,american
38050,Toronto,japanes
38054,Mississauga,cafe
38062,Calgary,vietnames
38063,Chandler,chines
38065,Markham,chines
38067,Phoenix,chines
38070,Tempe,mexican
38072,Phoenix,american
38075,Montréal,american
38078,Toronto,cafe
38079,Montréal,breakfast
38084,Madison,hawaiian
38091,Montréal,cafe
38098,Chatauguay,indian
38118,Phoenix,mexican
38121,Laval,lebanes
38125,Beaconsfield,italian
38136,Strongsville,american
38138,Toronto,breakfast
38142,Richmond Hill,chines
38152,Tempe,american
38156,Las Vegas,american
38173,Pittsburgh,breakfast
38174,Toronto,indian
38175,Surprise,american
38178,North York,korean
38182,Tempe,american
38183,West View,chines
38187,Toronto,cafe
38189,Toronto,cafe
38190,Pittsburgh,vietnames
38194,Las Vegas,korean
38201,Las Vegas,mexican
38203,Las Vegas,american
38218,Chandler,thai
38224,Brampton,indian
38226,Charlotte,italian
38227,Scottsdale,chines
38232,Toronto,american
38239,Tempe,japanes
38245,Las Vegas,mexican
38252,Cleveland,mexican
38254,Scottsdale,american
38264,Chandler,american
38267,Toronto,american
38272,Markham,asian
38277,Montréal,cafe
38282,Sainte-Marguerite-du-lac-Masson,italian
38283,Phoenix,american
38285,Calgary,american
38291,Phoenix,american
38293,Toronto,indian
38304,Scottsdale,american
38305,Calgary,cafe
38306,Vaughan,kebab
38307,Las Vegas,brazilian
38313,Brampton,american
38314,Brampton,american
38319,Calgary,burger
38320,Vaughan,italian
38322,Brampton,chines
38333,Wilkinsburg,burger
38335,Las Vegas,american
38336,Toronto,vietnames
38345,Toronto,italian
38346,Charlotte,american
38347,Vaughan,chines
38351,Tempe,american
38359,Scottsdale,american
38365,Montréal,breakfast
38367,Las Vegas,vegetarian
38379,Las Vegas,japanes
38383,Las Vegas,japanes
38393,Sainte-Anne-De-Bellevue,italian
38398,Toronto,japanes
38409,Mesa,american
38415,Mesa,burger
38425,Scarborough,burger
38436,Scottsdale,japanes
38437,Mississauga,indian
38453,Phoenix,italian
38469,Plum,burger
38471,Denver,american
38477,Cleveland,american
38489,Bay Village,american
38496,Las Vegas,burger
38500,Mcfarland,american
38501,Scarborough,chines
38502,Montréal,french
38503,Henderson,cafe
38506,Urbana,breakfast
38514,Charlotte,caribbean
38520,Phoenix,american
38521,Toronto,chines
38523,Montréal,breakfast
38533,Toronto,breakfast
38535,Westlake,american
38538,Scottsdale,american
38543,Scarborough,asian
38548,Cleveland,burger
38550,Surprise,italian
38551,Pittsburgh,american
38553,Vaughan,japanes
38557,Las Vegas,american
38561,Calgary,breakfast
38570,Gilbert,mexican
38573,Chandler,chines
38574,Etobicoke,burger
38575,Cleveland,american
38586,Goodyear,breakfast
38593,Henderson,american
38595,Hudson,burger
38606,Pittsburgh,american
38611,Toronto,japanes
38613,Toronto,breakfast
38622,Las Vegas,cafe
38629,Pittsburgh,cafe
38631,Pointe-Claire,japanes
38636,Phoenix,italian
38640,Las Vegas,chines
38648,Cleveland,american
38658,Las Vegas,italian
38662,Ajax,afghan
38670,Charlotte,american
38679,Montréal,cuban
38692,Toronto,italian
38693,Charlotte,american
38697,Toronto,american
38700,Las Vegas,mexican
38703,Las Vegas,chines
38711,Pittsburgh,thai
38714,Montréal,chines
38717,Mesa,italian
38727,Las Vegas,asian
38740,Charlotte,breakfast
38741,Montréal,breakfast
38745,Phoenix,chines
38760,Las Vegas,mexican
38762,Laval,asian
38781,Phoenix,mexican
38782,Thornhill,indian
38819,Whitby,mediterranean
38833,Scottsdale,breakfast
38838,Charlotte,japanes
38849,Las Vegas,american
38851,Cleveland,burger
38852,Toronto,german
38864,Toronto,french
38875,Calgary,indian
38880,Champaign,mexican
38886,Toronto,barbequ
38889,Las Vegas,burger
38890,Brecksville,thai
38891,Madison,chines
38892,Calgary,asian
38900,Kannapolis,american
38904,Westlake,mediterranean
38906,Toronto,french
38914,Markham,japanes
38918,Concord,mexican
38921,Toronto,italian
38927,Toronto,italian
38930,Charlotte,breakfast
38935,Phoenix,mediterranean
38937,Saint Joseph,italian
38942,Pittsburgh,american
38947,Phoenix,cajuncreol
38959,Montréal,cafe
38963,Lakewood,burger
38971,Brampton,italian
38975,Pittsburgh,american
38997,Phoenix,vietnames
39014,Pickering,japanes
39016,Las Vegas,mexican
39026,Wexford,mexican
39027,Fountain Hills,breakfast
39035,Las Vegas,cafe
39037,Charlotte,korean
39042,Charlotte,mexican
39044,Cave Creek,american
39045,Las Vegas,breakfast
39053,Las Vegas,american
39063,Calgary,burger
39067,Toronto,breakfast
39072,North Ridgeville,chines
39074,Las Vegas,japanes
39080,Las Vegas,japanes
39082,Chandler,breakfast
39087,Toronto,breakfast
39091,Phoenix,asian
39094,Laval,japanes
39108,Avondale,mexican
39112,Calgary,indian
39128,Las Vegas,mexican
39131,St Joseph,breakfast
39139,Phoenix,mexican
39153,Toronto,italian
39170,Pickering,american
39175,Charlotte,japanes
39181,Calgary,mexican
39183,Lakewood,italian
39184,Chandler,american
39186,Charlotte,mexican
39188,Las Vegas,hawaiian
39189,Pittsburgh,american
39190,Las Vegas,american
39193,West View,breakfast
39201,Las Vegas,american
39202,Norton,american
39212,Montréal,american
39213,Madison,caribbean
39221,Charlotte,japanes
39223,Rocky River,american
39225,Cleveland,vegan
39227,Montréal,breakfast
39239,Las Vegas,mexican
39250,North Las Vegas,american
39252,Madison,vegan
39254,Madison,burger
39255,Pickering,afghan
39258,Las Vegas,cafe
39263,Verona,italian
39265,Calgary,cafe
39270,Mesa,american
39272,Montréal,mexican
39274,University Heights,breakfast
39275,Tempe,american
39284,Toronto,thai
39296,Rosemere,italian
39299,Gilbert,chines
39300,Mississauga,burger
39309,Brooklyn,burger
39311,Mesa,american
39318,Tempe,mediterranean
39327,Hudson,american
39333,Toronto,american
39339,Gastonia,american
39341,Toronto,mexican
39351,Calgary,vietnames
39366,Phoenix,mexican
39367,Phoenix,vegan
39368,Matthews,french
39372,Middleton,cafe
39382,Las Vegas,barbequ
39391,Toronto,italian
39397,Cleveland,japanes
39401,Scottsdale,italian
39404,Toronto,cafe
39412,Pittsburgh,mexican
39420,Pierrefonds,asian
39430,Charlotte,breakfast
39435,Peoria,mediterranean
39438,Huntersville,american
39448,Pittsburgh,american
39449,Mesa,american
39450,Calgary,thai
39456,Calgary,mexican
39471,Kannapolis,american
39472,Las Vegas,thai
39475,Charlotte,breakfast
39477,Toronto,american
39479,Richmond Hill,burger
39480,Toronto,asian
39485,Tempe,american
39490,Las Vegas,mexican
39514,Las Vegas,japanes
39520,Peninsula,breakfast
39536,Madison,american
39538,Toronto,chines
39540,Toronto,vegan
39544,Cleveland,american
39551,Youngtown,cafe
39553,Tempe,vegan
39561,Glendale,mexican
39562,Charlotte,japanes
39570,Scottsdale,breakfast
39571,Oakdale,breakfast
39581,Oakville,breakfast
39590,Cleveland,american
39595,Toronto,italian
39598,Las Vegas,burger
39599,Charlotte,indian
39601,Calgary,chines
39611,Whitchurch-Stouffville,burger
39612,Las Vegas,mexican
39617,Toronto,vegetarian
39639,Sun Prairie,american
39652,Pointe-Claire,burger
39663,Pittsburgh,barbequ
39669,Toronto,ethiopian
39670,Toronto,american
39681,Toronto,vietnames
39688,Scarborough,italian
39689,Pittsburgh,mexican
39695,Vaughan,japanes
39698,Toronto,burger
39700,Toronto,turkish
39702,Montréal,vietnames
39703,Lakewood,breakfast
39712,Toronto,burger
39715,Halton Hills,japanes
39721,Toronto,burger
39730,Las Vegas,burger
39734,Toronto,korean
39742,Scottsdale,italian
39748,Madison,american
39753,Akron,american
39765,Brampton,italian
39771,Phoenix,breakfast
39783,Madison,japanes
39787,Woodbridge,chines
39792,Charlotte,mexican
39794,Las Vegas,american
39795,Las Vegas,vegetarian
39807,Pittsburgh,american
39833,Toronto,italian
39842,Montréal,breakfast
39843,Montréal,cafe
39845,Toronto,mexican
39850,Highland Heights,italian
39872,Phoenix,breakfast
39879,Charlotte,italian
39885,Glendale,thai
39907,Phoenix,mexican
39908,Pickering,american
39910,Gilbert,american
39912,Mississauga,afghan
39915,Monroeville,chines
39934,Etobicoke,cafe
39935,Charlotte,cafe
39936,Montréal,french
39941,Montréal,italian
39943,Stoughton,american
39953,Calgary,mediterranean
39955,Vaughan,italian
39959,Pittsburgh,breakfast
39966,Mesa,burger
39975,Toronto,italian
39976,Pittsburgh,burger
39978,Montréal,asian
39979,Peoria,cafe
39982,Calgary,mexican
39984,Calgary,thai
39988,Phoenix,barbequ
39991,Chandler,japanes
39996,Phoenix,american
40004,Montréal,hawaiian
40013,Phoenix,mexican
40016,Toronto,italian
40023,Etobicoke,breakfast
40024,Gastonia,breakfast
40031,Montréal,burger
40040,Mesa,chines
40041,Montréal,mediterranean
40042,Mississauga,mediterranean
40055,Phoenix,burger
40061,Sewickley,chines
40062,Phoenix,mexican
40070,Las Vegas,vegan
40073,Mississauga,american
40075,Pickering,american
40078,Boucherville,cafe
40080,Montréal,breakfast
40085,Las Vegas,chines
40095,Toronto,american
40104,Fairlawn,burger
40123,Phoenix,barbequ
40127,Las Vegas,japanes
40132,Charlotte,burger
40136,Phoenix,american
40138,Las Vegas,american
40139,Phoenix,mexican
40144,Vaughan,italian
40151,Scottsdale,burger
40152,Las Vegas,mexican
40161,Charlotte,mexican
40171,Toronto,mediterranean
40176,Mesa,brazilian
40189,West Mifflin,chines
40190,Solon,breakfast
40191,Charlotte,burger
40193,Toronto,mexican
40217,Charlotte,italian
40220,Montréal,italian
40231,Mesa,mexican
40237,Toronto,cafe
40243,Charlotte,burger
40246,Goodyear,american
40249,Phoenix,american
40252,Mesa,vietnames
40253,Montréal,chines
40257,Calgary,breakfast
40272,Henderson,barbequ
40276,Oakmont,american
40279,Moreland Hills,cafe
40282,Toronto,chines
40285,Charlotte,chines
40287,Olmsted Falls,french
40298,Scottsdale,vegetarian
40299,Vaughan,american
40310,Mesa,italian
40335,Las Vegas,mediterranean
40346,Vaughan,burger
40355,Phoenix,italian
40357,Cleveland,vegan
40362,Etobicoke,thai
40366,Phoenix,breakfast
40369,Mississauga,breakfast
40371,Pineville,american
40378,Las Vegas,american
40388,Tempe,italian
40393,Toronto,chines
40398,East York,italian
40400,Las Vegas,american
40407,McCandless,american
40409,Las Vegas,mediterranean
40410,Henderson,chines
40416,Las Vegas,mexican
40417,Avondale,korean
40418,Mesa,mediterranean
40424,Matthews,american
40425,North York,american
40428,Montréal,breakfast
40432,Toronto,vietnames
40436,Las Vegas,cafe
40437,Toronto,chines
40439,Phoenix,mediterranean
40448,Glendale,mexican
40452,Mississauga,portugues
40456,Glendale,mediterranean
40458,Markham,indian
40468,Montréal,burger
40480,Montréal,indian
40481,Parma Heights,american
40487,Madison,chines
40490,Markham,chines
40493,Phoenix,vegan
40497,Montréal,asian
40500,Toronto,cafe
40505,Cleveland,barbequ
40524,Scottsdale,italian
40535,Calgary,american
40541,Las Vegas,cafe
40546,Calgary,american
40556,Charlotte,cafe
40558,Las Vegas,burger
40562,Shaker Heights,mexican
40563,Calgary,indian
40565,Las Vegas,american
40566,Calgary,breakfast
40571,Montréal,mexican
40574,Brecksville,american
40575,Toronto,russian
40576,Newmarket,american
40582,Bradford,american
40604,Chagrin Falls,american
40606,Gastonia,japanes
40614,Calgary,mediterranean
40615,Toronto,afghan
40616,Montréal,vegan
40620,Montréal,breakfast
40621,Madison,cafe
40626,Litchfield,burger
40633,Murrysville,italian
40635,Greenfield Park,french
40638,Phoenix,barbequ
40640,Pickering,chines
40649,Saint-Léonard,cafe
40651,Toronto,american
40654,Calgary,american
40680,Markham,chines
40687,Toronto,cafe
40692,McMurray,italian
40694,Toronto,japanes
40698,Surprise,breakfast
40701,Whitby,thai
40705,Mississauga,italian
40707,King City,japanes
40717,Toronto,french
40734,Charlotte,american
40741,Montréal,french
40750,Montréal,french
40753,Mississauga,caribbean
40762,Pittsburgh,cafe
40763,Cleveland,thai
40765,Calgary,american
40770,Montréal,breakfast
40771,Rock Hill,italian
40773,Charlotte,barbequ
40776,Stoughton,cafe
40778,Gilbert,american
40781,Las Vegas,asian
40784,Mesa,breakfast
40785,Toronto,burger
40787,Saint-Bruno-de-Montarville,japanes
40788,Richmond Hill,italian
40790,Toronto,cafe
40795,Scottsdale,american
40799,Calgary,mediterranean
40800,Cleveland,american
40802,Mesa,mexican
40804,Henderson,american
40807,Las Vegas,italian
40814,Cleveland,mexican
40816,Medina,italian
40822,Mesa,cajuncreol
40826,Mississauga,chines
40835,Pittsburgh,japanes
40837,Vaughan,vietnames
40839,Toronto,chines
40840,Las Vegas,breakfast
40843,Las Vegas,american
40847,Toronto,mexican
40849,Toronto,arabian
40854,Cleveland,american
40870,Beachwood,american
40877,Charlotte,breakfast
40880,Cave Creek,italian
40889,Mesa,american
40897,Toronto,italian
40899,Montréal,cafe
40900,Montréal,indian
40904,Pittsburgh,american
40911,Glendale,thai
40912,Mentor,breakfast
40917,Mesa,barbequ
40931,Calgary,thai
40935,Markham,chines
40944,Charlotte,breakfast
40945,Toronto,chines
40946,Concord,chines
40950,Madison,cafe
40954,Cuyahoga Falls,mediterranean
40969,Madison,vietnames
40976,Scottsdale,vegetarian
40980,Calgary,thai
40985,Scottsdale,cafe
40990,Tempe,chines
40991,Glendale,american
41002,Montréal,french
41003,Newmarket,burger
41021,Toronto,american
41023,Toronto,mediterranean
41028,Fountain Hills,mexican
41049,Goodyear,chines
41054,Pittsburgh,mediterranean
41060,Montréal,breakfast
41063,Rocky River,barbequ
41070,Phoenix,korean
41071,Toronto,japanes
41072,Toronto,chines
41077,Willoughby Hills,american
41092,Mesa,italian
41093,Las Vegas,barbequ
41095,Etobicoke,italian
41102,Las Vegas,japanes
41111,Middleton,chines
41124,Vaudreuil-Dorion,italian
41134,Scottsdale,burger
41135,Bethel Park,burger
41143,Mississauga,american
41152,Charlotte,asian
41156,Montréal,breakfast
41164,Akron,burger
41179,Toronto,chines
41184,Fountain Hills,vegetarian
41185,Las Vegas,hawaiian
41190,Las Vegas,chines
41196,Surprise,italian
41203,Toronto,mediterranean
41208,Cleveland,mediterranean
41211,Phoenix,breakfast
41212,Las Vegas,cafe
41214,Montréal,japanes
41217,Huntersville,chines
41224,Bedford,italian
41228,McMurray,american
41232,Charlotte,american
41252,Monona,american
41258,Euclid,chines
41262,Las Vegas,american
41264,Gilbert,vegetarian
41265,Independence,mediterranean
41266,North York,vietnames
41270,Pointe-Claire,mediterranean
41276,Tempe,burger
41277,Toronto,japanes
41286,Markham,caribbean
41289,Pittsburgh,asian
41290,Pointe-Claire,barbequ
41291,Youngtown,breakfast
41297,Las Vegas,italian
41321,Mesa,american
41322,Phoenix,american
41327,Las Vegas,chines
41329,Mississauga,american
41332,Saint-Lambert,indian
41345,Las Vegas,mexican
41363,Richmond Hill,malaysian
41370,Toronto,indian
41371,Gilbert,burger
41372,Calgary,american
41374,Kent,american
41378,Rock Hill,american
41379,Phoenix,japanes
41381,Brampton,chines
41398,Charlotte,barbequ
41404,Mississauga,italian
41414,Phoenix,american
41425,Toronto,american
41431,Goodyear,mexican
41437,Charlotte,chines
41439,Calgary,american
41441,Montréal,breakfast
41447,Phoenix,breakfast
41448,Amherst,breakfast
41453,Rantoul,burger
41457,Tempe,barbequ
41458,Madison,mexican
41464,Toronto,italian
41468,Harrison City,american
41470,Homestead,chines
41473,Las Vegas,burger
41474,Scarborough,chines
41478,Charlotte,american
41480,Pittsburgh,american
41481,Concord,cafe
41487,Mint Hill,barbequ
41489,Brampton,italian
41490,Charlotte,barbequ
41499,Cleveland,breakfast
41506,Toronto,indian
41521,Las Vegas,american
41529,Las Vegas,japanes
41531,Mississauga,american
41534,Las Vegas,italian
41535,Scottsdale,american
41540,Cleveland,breakfast
41542,Toronto,korean
41543,Coraopolis,italian
41555,Gibsonia,breakfast
41556,Toronto,barbequ
41559,Valley View,italian
41571,Concord,breakfast
41578,Phoenix,burger
41591,Nobleton,italian
41603,Las Vegas,american
41605,Phoenix,american
41613,Phoenix,italian
41618,Chandler,mediterranean
41619,Montréal,cafe
41637,Phoenix,breakfast
41639,Las Vegas,burger
41642,Mississauga,italian
41648,Stoughton,american
41651,Toronto,american
41660,Phoenix,chines
41663,Montréal,american
41665,Oakville,italian
41668,Las Vegas,chines
41673,Charlotte,breakfast
41677,Willoughby,american
41678,Toronto,chines
41687,Vaughan,burger
41691,Charlotte,american
41703,Cave Creek,mexican
41706,Boucherville,breakfast
41707,Toronto,cafe
41727,Las Vegas,american
41738,Phoenix,american
41745,Akron,burger
41747,Avon,american
41748,Charlotte,breakfast
41755,Cleveland,barbequ
41756,Oakwood Village,burger
41763,Las Vegas,chines
41767,Ajax,chines
41769,Las Vegas,chines
41777,Montréal,cafe
41778,Matthews,burger
41793,Vaudreuil-Dorion,breakfast
41799,Toronto,italian
41802,Madison,mexican
41817,Avon Lake,chines
41820,Surprise,mexican
41826,Twinsburg,chines
41839,Phoenix,vegetarian
41844,Las Vegas,mexican
41851,Youngtown,american
41854,Goodyear,italian
41858,Las Vegas,asian
41867,Pittsburgh,mexican
41873,Markham,chines
41876,Fountain Hills,cafe
41880,Scottsdale,american
41882,Las Vegas,ethiopian
41884,Pittsburgh,indian
41890,Toronto,italian
41893,Carefree,mediterranean
41895,Toronto,french
41901,Toronto,chines
41909,Las Vegas,american
41910,Toronto,breakfast
41915,Toronto,mexican
41924,Indian Trail,breakfast
41930,Las Vegas,mexican
41931,Scottsdale,italian
41933,Charlotte,caribbean
41937,Cornelius,american
41939,Toronto,american
41944,Las Vegas,american
41946,Sun City,breakfast
41948,Las Vegas,mexican
41955,Toronto,korean
41964,Toronto,italian
41971,Las Vegas,chines
41974,Madison,burger
41983,Las Vegas,vegan
41987,Willoughby,american
42002,Montréal,mexican
42040,Madison,american
42045,Charlotte,cafe
42048,Mississauga,chines
42051,Lakewood,burger
42054,Las Vegas,asian
42060,Beachwood,mexican
42062,Strongsville,italian
42068,Medina,breakfast
42069,Peoria,chines
42071,Las Vegas,breakfast
42085,Toronto,mediterranean
42086,Cleveland,american
42093,Las Vegas,brazilian
42101,Scottsdale,breakfast
42105,Chandler,vietnames
42106,L'Île-Perrot,burger
42124,Toronto,japanes
42125,Chandler,mexican
42127,Fort Mill,american
42135,Pittsburgh,american
42137,Toronto,thai
42139,Scottsdale,mexican
42140,Toronto,malaysian
42147,Cleveland,chines
42153,Pittsburgh,american
42154,Las Vegas,indian
42159,Glendale,chines
42182,Las Vegas,german
42185,Cleveland,mexican
42190,Calgary,breakfast
42192,Toronto,chines
42195,L'ile-Perrot,barbequ
42198,Toronto,indian
42213,Charlotte,asian
42214,Cleveland,american
42222,Phoenix,mexican
42230,Phoenix,chines
42234,Phoenix,breakfast
42239,Calgary,japanes
42241,Calgary,american
42244,Tempe,japanes
42248,Las Vegas,burger
42251,Cleveland,breakfast
42259,Laval,italian
42267,Richmond Hill,chines
42269,Chandler,american
42272,Mississauga,chines
42274,Cleveland,american
42275,Las Vegas,burger
42276,Calgary,french
42280,Phoenix,burger
42281,Montréal,cafe
42292,Cleveland,italian
